Name,n-Heptane,iso-Octane,Ethanol,Toluene,"1,2,4-Trimethylbenzene",Cyclopentane,1-Hexene,Predicted RON,Predicted MON
PRF+10,57.0625,31.6328125,11.3046875,,,,,55.57,51.2
PRF+20,46.12081038579345,39.71130368113518,14.167885933071375,,,,,67.43,64.61
PRF+30,36.0,47.0,17.0,,,,,78.44,75.12
PRF+40,26.0,54.0,20.0,,,,,89.66,84.63
PRF+50,18.045846933649457,52.492309006476674,29.46184405987387,,,,,95.15,87.5
PRF+60,16.681662270199276,38.125033088320116,45.19330464148061,,,,,99.51,89.0
PRF+70,11.0,32.0,57.0,,,,,102.84,89.79
PRF+80,6.0,38.0,56.0,,,,,102.63,90.18
PRF+90,0.0,30.0,70.0,,,,,104.7,90.52
TPRF 1+0,44.9930419921875,50.67681884765625,,4.33013916015625,,,,57.97,58.26
TPRF 1+10,38.0,44.0,2.0,16.0,,,,68.84,66.9
TPRF 1+20,27.0,51.0,5.0,17.0,,,,81.9,77.65
TPRF 1+40,14.304063172480278,54.47764882348477,5.5092379532432645,25.709050050791685,,,,93.97,87.82
TPRF 1+60,13.0,44.0,19.0,24.0,,,,98.66,88.6
TPRF 2+0,46.489322662353516,46.51148986816406,,6.999187469482422,,,,56.69,55.5
TPRF 2+10,42.0,30.0,5.0,23.0,,,,68.59,65.05
TPRF 2+20,30.0,46.0,5.0,19.0,,,,79.56,75.21
TPRF 2+40,16.0,45.0,8.0,31.0,,,,94.99,86.79
TPRF 2+60,11.0,39.0,13.0,37.0,,,,98.97,89.71
TPRF 3+0,54.0,18.0,,28.0,,,,54.63,50.55
TPRF 3+10,50.0,20.0,9.0,21.0,,,,63.78,59.39
TPRF 3+20,36.0,37.0,6.0,21.0,,,,75.0,70.48
TPRF 3+40,20.0,44.0,7.0,29.0,,,,91.4,84.32
TPRF 3+60,13.292532622267748,53.10970854049253,7.632070649964566,25.965688187275163,,,,95.45,88.42
TPRF 4+1,43.0,57.0,,,,,,59.98,60.36
TPRF 4+2,38.0,57.0,,5.0,,,,64.37,62.59
TPRF 4+3,33.0,64.0,,3.0,,,,69.03,66.28
TPRF 4+4,42.56460189819336,36.66545867919922,4.18492317199707,16.58501625061035,,,,65.97,63.95
TPRF 4+5,32.0,68.0,,,,,,70.01,68.41
TPRF 4+6,36.0,44.0,3.0,17.0,,,,71.67,69.3
TPRF 4+7,44.0,41.0,15.0,,,,,69.8,66.94
TPRF 4+8,28.0,65.0,,7.0,,,,74.62,72.7
TPRF 4+9,45.0,40.0,15.0,,,,,68.99,66.0
TPRF 4+10,37.02064424753189,40.73077970743179,5.378318727016449,16.870257318019867,,,,72.31,69.14
TPRF 4+11,36.2800258398056,47.56577110290527,2.6686594486236572,13.485543608665466,,,,70.13,68.71
TPRF 4+12,34.0,46.0,3.0,17.0,,,,73.78,71.02
TPRF 4+13,32.5,45.0,5.5,17.0,,,,77.03,73.1
TPRF 4+14,36.20174729824066,46.47683763504028,17.321415066719055,,,,,78.47,75.12
TPRF 4+15,26.182360932043593,61.36840101656344,3.990312332962276,8.458925718430692,,,,79.21,77.19
TMB+10,,,10.0,,90.0,,,105.8,102.57
TMB+25,,,29.0,,71.0,,,105.32,95.82
TMB+40,,,38.0,,62.0,,,105.2,94.26
TMB+60,,,50.35150325500449,,49.64849674499551,,,105.07,92.62
CP+10,,,17.0,,,83.0,,101.92,87.53
CP+25,,,19.0,,,81.0,,102.11,87.55
CP+40,,,20.0,,,80.0,,102.24,87.65
CP+60,,,18.5,,,81.5,,102.04,87.51
Hex+10,,,9.0,,,,91.0,81.15,68.89
Hex+25,,,23.0,,,,77.0,88.81,74.63
Hex+40,,,39.0,,,,61.0,94.83,79.49
Hex+60,,,58.0,,,,42.0,101.48,83.42
TPRF 1,28.0,,,72.0,,,,90.59,80.52
TPRF 2,12.0,87.0,,1.0,,,,93.54,89.43
TPRF 3,13.0,84.0,,3.0,,,,91.51,85.99
TPRF 4,13.0,84.0,,3.0,,,,91.51,85.99
TPRF 5,22.0,,,78.0,,,,96.62,85.77
TPRF 6,12.0,87.0,,1.0,,,,93.54,89.43
TPRF 7,12.075227731005247,85.83366896023935,,2.0911033087553994,,,,92.76,87.3
TPRF 8,17.0,78.0,,5.0,,,,86.37,82.39
TPRF 9,19.0,78.0,,3.0,,,,85.75,79.93
TPRF 10,11.0,87.0,,2.0,,,,93.76,88.41
TPRF 11,12.0,86.0,,2.0,,,,92.87,87.41
TPRF 12,67.0,20.0,,13.0,,,,38.79,39.16
TPRF 13,19.0,80.0,,1.0,,,,86.99,81.87
TPRF 14,51.0,,,49.0,,,,64.77,57.11
TPRF 15,28.0,69.0,,3.0,,,,75.09,70.66
TPRF 16,42.0,,,58.0,,,,74.9,67.36
TPRF 17,35.0,,,65.0,,,,82.8,74.33
TPRF 18,31.0,,,69.0,,,,87.56,77.92
