Name,n-Pentane,Ethanol,iso-Pentane,n-Heptane,1-Hexene,iso-Octane,Cyclopentane,"1,2,4-Trimethylbenzene",Toluene,n-Nonane,Predicted RON,Predicted MON
n-Pentane+10,85.0,15.0,,,,,,,,,76.52,63.65
n-Pentane+25,71.0,29.0,,,,,,,,,86.55,73.48
n-Pentane+40,58.84375,41.15625,,,,,,,,,93.6,81.66
n-Pentane+60,41.0,59.0,,,,,,,,,103.61,89.74
iso-Pentane+10,,9.0,91.0,,,,,,,,97.06,94.95
iso-Pentane+25,,14.0,86.0,,,,,,,,98.28,96.38
iso-Pentane+40,,11.0,89.0,,,,,,,,97.59,95.55
iso-Pentane+60,,53.0,47.0,,,,,,,,105.52,95.44
FACE A #1,5.0,,4.0,9.0,26.0,41.0,7.0,5.0,3.0,,84.66,76.88
FACE C #1,16.72932307422161,,14.344214737415314,10.354454085230827,20.517641201615334,11.880509167909622,11.10476790368557,8.947411134839058,6.1216786950826645,,84.42,71.24
FACE F #1,5.0,,31.0,6.0,12.0,19.0,3.0,23.0,1.0,,94.23,85.54
FACE G #1,7.0,,23.0,6.0,11.0,13.0,7.0,23.0,10.0,,95.13,85.03
FACE I #1,26.0,,16.0,17.0,16.0,12.0,7.0,4.0,2.0,,69.52,67.75
FACE J #1,22.721623420715332,,16.8720703125,23.124975204467773,19.735936164855957,,10.534939765930176,,7.010455131530762,,67.01,66.9
FACE A #2,8.971264792748116,,28.695840831096575,8.596318093086666,17.167028356367155,16.96248986325554,8.439988674988854,6.326798665602837,4.840270722854257,,88.0,76.77
FACE C #2,14.0,,26.0,14.0,9.0,21.0,2.0,12.0,2.0,,84.48,76.7
FACE F #2,8.0,,34.0,6.0,18.0,6.0,12.0,8.0,8.0,,90.13,77.12
FACE G #2,3.7577271591834935,,38.702032747869254,3.7507454239615305,17.65835339976217,7.146558644293718,12.337364981431014,6.903492711576352,9.743724931922468,,92.27,78.7
FACE I #2,13.427680936280279,,24.11918859309696,21.043627054143357,9.082859003161126,13.815753803796209,6.237828737775011,6.498188368432652,5.774873503314403,,79.22,69.86
FACE J #2,18.43798828125,,16.86376953125,17.50634765625,16.736328125,11.96484375,8.18798828125,6.1416015625,4.1611328125,,76.32,66.4
Binary #1,75.0,,,,,,,,,25.0,35.3,36.73
Binary #2,54.0,,,,,,,,,46.0,11.42,12.83
Binary #3,,,,,,62.0,,,,38.0,63.86,64.43
Binary #4,,,,,,32.5,,,,67.5,28.83,18.03
Binary #5,12.348317055723694,,87.6516829442763,,,,,,,,89.47,87.35
Binary #6,31.75,,,,,68.25,,,,,79.37,76.26
Binary #7,90.0,,,,,10.0,,,,,68.89,66.81
Binary #8,,,91.0,,,9.0,,,,,93.6,89.83
Binary #9,,,87.0,,,13.0,,,,,93.46,89.58
Binary #10,76.0,,,24.0,,,,,,,46.0,48.11
Binary #11,53.0,,,47.0,,,,,,,31.15,32.96
Binary #12,31.0,,,69.0,,,,,,,16.34,17.9
Binary #13,,,,28.75,,71.25,,,,,75.0,72.57
Binary #14,,,,61.0,,39.0,,,,,44.95,50.23
Binary #15,,,,80.0,,20.0,,,,,21.62,25.77
Binary #16,,,53.5,46.5,,,,,,,63.81,68.47
Binary #17,,,39.0,61.0,,,,,,,47.88,49.88
Binary #18,,,21.0,79.0,,,,,,,22.33,27.14
Binary #19,,,71.0,,,29.0,,,,,92.36,88.68
TPRF 44,,,,59.0,,30.0,,,11.0,,46.43,47.25
TPRF 45,,,,,,50.98943991531519,,,49.01056008468481,,102.02,95.1
TPRF 46,,,,49.0,,43.0,,,8.0,,54.56,53.71
TPRF 47,,,,,,36.0,,,64.0,,104.08,96.8
TPRF 48,,,,,,32.0,,,68.0,,104.62,97.56
TPRF 49,,,,62.5,,,,,37.5,,51.54,43.76
TPRF 50,,,,,,34.0,,,66.0,,104.35,97.15
TPRF 51,,,,50.0,,,,,50.0,,65.96,58.25
TPRF 52,,,,41.0,,,,,59.0,,75.94,68.44
