Name,n-Heptane,Toluene,iso-Octane,Ethanol,Predicted RON,Predicted MON
TPRF 53,20.0,80.0,,,98.42,87.56
PRF-50+10,50.0,,36.0,14.0,64.21,60.41
PRF-50+20,37.0,,49.0,14.0,75.67,72.86
PRF-50+30,31.138235092163086,,50.93501663208008,17.926748275756836,85.35,80.37
PRF-50+40,21.0,,52.0,27.0,94.11,87.59
PRF-50+50,16.0,,40.0,44.0,99.1,89.05
PRF-50+60,10.0,,34.0,56.0,102.54,89.86
PRF-50+70,2.0,,39.0,59.0,103.32,90.65
PRF-50+80,3.0,,33.0,64.0,103.87,90.37
PRF-50+90,1.0,,20.0,79.0,106.22,90.27
PRF-60+10,43.0,,40.0,17.0,72.0,69.05
PRF-60+20,31.740622103214264,,50.69252961874008,17.566848278045654,84.16,79.71
PRF-60+30,25.0,,51.0,24.0,91.97,86.08
PRF-60+40,11.0,,50.0,39.0,97.39,88.95
PRF-60+50,11.0,,36.0,53.0,101.4,89.88
PRF-60+60,7.0,,31.0,62.0,104.04,90.04
PRF-60+70,3.0,,32.0,65.0,104.0,90.35
PRF-60+80,0.0,,27.0,73.0,105.2,90.44
PRF-60+90,1.0,,38.0,61.0,103.43,90.71
PRF91,17.0,,83.0,,90.68,88.95
PRF91-E10,9.0,,47.0,44.0,98.69,89.51
PRF91-E20,1.0,,40.0,59.0,103.3,90.78
PRF91-E40,0.0,,39.0,61.0,103.34,90.86
PRF91-E60,0.0,,34.0,66.0,104.01,90.62
PRF91-E80,0.0,,39.0,61.0,103.34,90.86
TRF91-15,13.0,2.0,85.0,,91.98,86.42
TRF91-15-E10,10.0,27.0,53.0,10.0,97.51,90.02
TRF91-15-E20,2.0,18.0,65.0,15.0,101.8,91.72
TRF91-15-E40,2.7496558412758207,57.16054416837924,32.55676032547573,7.533039664869213,103.61,93.6
TRF91-15-E60,2.943906433514229,58.113601657837194,25.380646842051533,13.561845066597048,104.72,92.6
TRF91-15-E80,2.7564805914486694,54.14295133521968,22.573870335786296,20.526697737545366,105.62,91.7
TRF91-30,14.0,4.0,82.0,,90.15,85.22
TRF91-30-E10,13.0,29.0,53.0,5.0,95.3,88.68
TRF91-30-E20,7.093217607140772,25.204667105824832,61.32565158598072,6.37646370105367,97.54,91.1
TRF91-30-E40,3.539262788776235,26.599214993789534,65.33469195448151,4.526830262952721,98.84,92.1
TRF91-30-E60,4.0620805555009785,29.433000692754554,60.99359492484088,5.511323826903594,99.15,92.0
TRF91-30-E80,4.782242112961616,37.37224534713991,47.558145491194296,10.287367048704175,101.01,91.4
TRF91-45,16.0,2.0,82.0,,89.26,83.47
TRF91-45-E10,15.346002146736062,24.902093873231536,55.89528862008645,3.856615359945953,92.43,87.16
TRF91-45-E20,12.302100508956311,20.664935443237532,64.46299249947018,2.569971548335979,93.29,89.1
TRF91-45-E40,8.0,42.0,40.0,10.0,100.13,90.9
TRF91-45-E60,7.0,22.0,66.0,5.0,96.92,91.2
TRF91-45-E80,7.0,30.0,55.0,8.0,98.62,91.1
PRF0-E40,67.0,,,33.0,69.64,45.76
PRF0-E60,43.5,,,56.5,94.7,75.78
PRF0-E80,28.0,,,72.0,104.66,87.29
PRF100-E10,,,75.0,25.0,95.57,91.15
PRF100-E20,,,74.0,26.0,95.69,91.07
PRF100-E40,,,74.0,26.0,95.69,91.07
PRF100-E60,,,75.0,25.0,95.57,91.15
PRF100-E80,,,75.0,25.0,95.57,91.15
